zbin,scenario,hours_bin5sig,years_bin5sig,hours_da2pct,years_da2pct
1.40-1.50,clean,1547.5,0.177,2784.3,0.318
1.40-1.50,measured,2084.6,0.238,3728.0,0.426
1.40-1.50,measured_fourier,2097.4,0.239,3750.9,0.428
1.40-1.50,uniform50_dtv,3094.9,0.353,5568.4,0.636
1.40-1.50,ch30_excised,1779.6,0.203,3182.7,0.363
1.40-1.50,ch30_kept,1836.2,0.21,3303.7,0.377
1.40-1.50,ch30_kept_fourier,9658.3,1.103,17377.4,1.984
1.60-1.70,clean,1855.7,0.212,3641.5,0.416
1.60-1.70,measured,2534.5,0.289,4852.6,0.554
1.60-1.70,measured_fourier,2534.9,0.289,4853.3,0.554
1.60-1.70,uniform50_dtv,3711.4,0.424,7283.0,0.831
1.60-1.70,ch30_excised,1855.7,0.212,3641.5,0.416
1.60-1.70,ch30_kept,1855.7,0.212,3641.5,0.416
1.60-1.70,ch30_kept_fourier,1855.7,0.212,3641.5,0.416
