world,suppression_db,ch,tau_capped,r_fine,tol_aperp,tol_apar,tol_fs8,pass_aperp,pass_apar,pass_fs8
none,0.0,32,True,0.005483630963323041,0.0156348218135432,0.03773300755649183,0.00152778654638757,True,True,False
none,0.0,33,True,0.0033386089441526726,0.0156348218135432,0.03773300755649183,0.00152778654638757,True,True,False
none,0.0,35,False,0.001816502461643685,0.0352017161716353,0.08227001749761345,0.0014972038367524181,True,True,False
none,0.0,29,True,0.7544517090084198,0.013956868079074751,0.02911506747199895,0.0015971185795605211,False,False,False
peak1,3.6,32,True,0.0023936917336529,0.0131927959622945,0.02275933345439127,0.0017216640434498255,True,True,False
peak1,3.6,33,True,0.0014573556617812657,0.0131927959622945,0.02275933345439127,0.0017216640434498255,True,True,True
peak1,3.6,35,False,0.0007929320838107033,0.015441603248685756,0.026742611697593073,0.0017007509132035046,True,True,True
peak1,3.6,29,True,0.3293301156428259,0.03171511744221081,0.07783557058128865,0.0017819951569621013,False,False,False
peak2,8.2,32,True,0.0008299811326810669,0.015926661158255632,0.09395621852763787,0.002088863698286997,True,True,True
peak2,8.2,33,True,0.000505318912155201,0.015926661158255632,0.09395621852763787,0.002088863698286997,True,True,True
peak2,8.2,35,False,0.0002749387733632862,0.014172302490315829,0.081373578520446,0.0022127514997008504,True,True,True
peak2,8.2,29,True,0.11419088705716149,0.012168656257296752,0.013653218000571708,0.002072171853795681,False,False,False
deployed,11.4,32,True,0.00039725394616118686,0.009015227018007535,0.00896984375603385,0.003703813330274854,True,True,True
deployed,11.4,33,True,0.00024186083757721894,0.009015227018007535,0.00896984375603385,0.003703813330274854,True,True,True
deployed,11.4,35,False,0.00013159397047794253,0.010738323443856035,0.010907069305363682,0.004590947997358209,True,True,True
deployed,11.4,29,True,0.05465519481457315,0.044809282962536945,0.05349092172211525,0.002975574715877312,False,False,False
