masked_fraction_dtv_band,years_survey_5sig,years_bin_z145_5sig,years_bin_z145_da2pct,penalty_vs_clean_da2pct
0.0,0.0238,0.1744,0.3146,1.0
0.05,0.0242,0.1835,0.3311,1.053
0.1,0.0246,0.1937,0.3495,1.111
0.15,0.0249,0.2051,0.3701,1.176
0.2,0.0253,0.218,0.3932,1.25
0.25,0.0256,0.2325,0.4194,1.333
0.3,0.026,0.2491,0.4494,1.429
0.35,0.0264,0.2682,0.4839,1.538
0.4,0.0267,0.2906,0.5243,1.667
0.45,0.0271,0.317,0.5719,1.818
0.5,0.0274,0.3487,0.6291,2.0
0.55,0.0278,0.3875,0.699,2.222
0.6,0.0281,0.4359,0.7864,2.5
0.65,0.0284,0.4982,0.8987,2.857
0.7,0.0287,0.5812,1.0485,3.333
0.75,0.029,0.6975,1.2582,4.0
0.8,0.0293,0.8718,1.5728,5.0
0.85,0.0295,1.1624,2.097,6.667
0.9,0.0297,1.7435,3.1456,10.0
0.95,0.0299,3.4872,6.2911,20.0
0.97,0.0299,5.812,10.4852,33.333
