panel,series,time_year,value
clean_sigma,clean,0.0499991259,0.0114054057
clean_sigma,clean,0.0572747531,0.0102217167
clean_sigma,clean,0.0656090836,0.00917479884
clean_sigma,clean,0.0751561834,0.00824923777
clean_sigma,clean,0.0860925286,0.00742938991
clean_sigma,clean,0.0986202597,0.00670182395
clean_sigma,clean,0.112970995,0.00605589615
clean_sigma,clean,0.12940998,0.00548231094
clean_sigma,clean,0.148241038,0.0049686522
clean_sigma,clean,0.169812346,0.00451214454
clean_sigma,clean,0.194522543,0.00410650984
clean_sigma,clean,0.222828508,0.00374484629
clean_sigma,clean,0.255253339,0.00341836382
clean_sigma,clean,0.292396551,0.00312713686
clean_sigma,clean,0.334944556,0.00286491633
clean_sigma,clean,0.383684042,0.00262753546
clean_sigma,clean,0.439515722,0.00241496202
clean_sigma,clean,0.503471891,0.00222613807
clean_sigma,clean,0.576734468,0.00205259287
clean_sigma,clean,0.660658034,0.00189714099
clean_sigma,clean,0.75679351,0.00175798382
clean_sigma,clean,0.866918384,0.0016304218
clean_sigma,clean,0.993067779,0.00151426297
clean_sigma,clean,1.13757412,0.0014105818
clean_sigma,clean,1.30310832,0.00131432408
clean_sigma,clean,1.49272931,0.00122641185
clean_sigma,clean,1.70994395,0.00114887459
clean_sigma,clean,1.95876659,0.00107910713
clean_sigma,clean,2.24379669,0.00101401685
clean_sigma,clean,2.57030296,0.000954296705
clean_sigma,clean,2.94431898,0.000900168147
clean_sigma,clean,3.37276182,0.000847722804
clean_sigma,clean,3.86354955,0.000801416829
clean_sigma,clean,4.4257543,0.000760909374
clean_sigma,clean,5.06976516,0.000724221783
clean_sigma,clean,5.80749248,0.000687474409
clean_sigma,clean,6.65257026,0.00065586361
clean_sigma,clean,7.62061961,0.000624962003
clean_sigma,clean,8.72952929,0.000597756794
clean_sigma,clean,9.99980751,0.000573915486
bias_sigma,keep_everything,0.0500000286,250.976706
bias_sigma,keep_everything,0.0572757514,253.979385
bias_sigma,keep_everything,0.0656102783,257.068471
bias_sigma,keep_everything,0.0751575168,259.396566
bias_sigma,keep_everything,0.0860941233,262.37702
bias_sigma,keep_everything,0.0986220556,266.28308
bias_sigma,keep_everything,0.112972982,268.669194
bias_sigma,keep_everything,0.129412336,270.619085
bias_sigma,keep_everything,0.148243691,273.616452
bias_sigma,keep_everything,0.169815491,276.836926
bias_sigma,keep_everything,0.194526086,279.642325
bias_sigma,keep_everything,0.222832427,284.475085
bias_sigma,keep_everything,0.255258067,288.026396
bias_sigma,keep_everything,0.292401784,290.117459
bias_sigma,keep_everything,0.334950446,291.630321
bias_sigma,keep_everything,0.383691029,295.198999
bias_sigma,keep_everything,0.439523589,297.205669
bias_sigma,keep_everything,0.503481217,300.376652
bias_sigma,keep_everything,0.57674497,304.034373
bias_sigma,keep_everything,0.660669653,306.156881
bias_sigma,keep_everything,0.756807528,305.726856
bias_sigma,keep_everything,0.8669339,308.863021
bias_sigma,keep_everything,0.993086483,309.523693
bias_sigma,keep_everything,1.13759484,308.864483
bias_sigma,keep_everything,1.30313124,309.744963
bias_sigma,keep_everything,1.49275743,310.29663
bias_sigma,keep_everything,1.70997509,308.759987
bias_sigma,keep_everything,1.95880104,310.047818
bias_sigma,keep_everything,2.24383755,310.240831
bias_sigma,keep_everything,2.57034816,307.599764
bias_sigma,keep_everything,2.94437444,304.202047
bias_sigma,keep_everything,3.37282323,302.171734
bias_sigma,keep_everything,3.86361749,299.775226
bias_sigma,keep_everything,4.42583489,297.153631
bias_sigma,keep_everything,5.06985748,296.879529
bias_sigma,keep_everything,5.80759461,293.835839
bias_sigma,keep_everything,6.65269141,288.164784
bias_sigma,keep_everything,7.62075362,282.637288
bias_sigma,keep_everything,8.72969371,279.578807
bias_sigma,keep_everything,9.99998961,273.473402
bias_sigma,mad,0.0500000286,1204.92419
bias_sigma,mad,0.0572757514,1215.17196
bias_sigma,mad,0.0656102783,1223.27889
bias_sigma,mad,0.0751575168,1229.56476
bias_sigma,mad,0.0860941233,1234.33978
bias_sigma,mad,0.0986220556,1240.50928
bias_sigma,mad,0.112972982,1252.37776
bias_sigma,mad,0.129412336,1267.19324
bias_sigma,mad,0.148243691,1282.6331
bias_sigma,mad,0.169815491,1297.14641
bias_sigma,mad,0.194526086,1305.40787
bias_sigma,mad,0.222832427,1327.76046
bias_sigma,mad,0.255258067,1343.37235
bias_sigma,mad,0.292401784,1353.423
bias_sigma,mad,0.334950446,1365.13401
bias_sigma,mad,0.383691029,1381.97321
bias_sigma,mad,0.439523589,1395.81594
bias_sigma,mad,0.503481217,1415.80152
bias_sigma,mad,0.57674497,1437.67468
bias_sigma,mad,0.660669653,1452.03069
bias_sigma,mad,0.756807528,1459.42984
bias_sigma,mad,0.8669339,1472.57722
bias_sigma,mad,0.993086483,1487.69005
bias_sigma,mad,1.13759484,1497.67176
bias_sigma,mad,1.30313124,1517.57081
bias_sigma,mad,1.49275743,1532.8153
bias_sigma,mad,1.70997509,1538.34204
bias_sigma,mad,1.95880104,1542.21275
bias_sigma,mad,2.24383755,1554.20335
bias_sigma,mad,2.57034816,1552.44641
bias_sigma,mad,2.94437444,1552.57131
bias_sigma,mad,3.37282323,1557.27726
bias_sigma,mad,3.86361749,1556.51098
bias_sigma,mad,4.42583489,1549.27938
bias_sigma,mad,5.06985748,1559.43446
bias_sigma,mad,5.80759461,1553.00121
bias_sigma,mad,6.65269141,1536.14131
bias_sigma,mad,7.62075362,1522.05181
bias_sigma,mad,8.72969371,1513.14239
bias_sigma,mad,9.99998961,1496.85688
bias_sigma,spectral_kurtosis,0.0500000286,297.899202
bias_sigma,spectral_kurtosis,0.0572757514,300.179831
bias_sigma,spectral_kurtosis,0.0656102783,303.558481
bias_sigma,spectral_kurtosis,0.0751575168,307.192426
bias_sigma,spectral_kurtosis,0.0860941233,310.923579
bias_sigma,spectral_kurtosis,0.0986220556,313.709709
bias_sigma,spectral_kurtosis,0.112972982,317.381803
bias_sigma,spectral_kurtosis,0.129412336,322.068622
bias_sigma,spectral_kurtosis,0.148243691,324.931554
bias_sigma,spectral_kurtosis,0.169815491,327.298292
bias_sigma,spectral_kurtosis,0.194526086,330.946146
bias_sigma,spectral_kurtosis,0.222832427,334.822376
bias_sigma,spectral_kurtosis,0.255258067,338.244999
bias_sigma,spectral_kurtosis,0.292401784,344.093783
bias_sigma,spectral_kurtosis,0.334950446,348.357208
bias_sigma,spectral_kurtosis,0.383691029,350.858043
bias_sigma,spectral_kurtosis,0.439523589,352.717691
bias_sigma,spectral_kurtosis,0.503481217,357.032205
bias_sigma,spectral_kurtosis,0.57674497,359.437934
bias_sigma,spectral_kurtosis,0.660669653,363.321035
bias_sigma,spectral_kurtosis,0.756807528,367.720001
bias_sigma,spectral_kurtosis,0.8669339,370.246805
bias_sigma,spectral_kurtosis,0.993086483,369.66115
bias_sigma,spectral_kurtosis,1.13759484,373.542421
bias_sigma,spectral_kurtosis,1.30313124,374.286529
