channel,evidence,order,masked_fraction,r_over_rtol
30,stated,0,1.16271914e-10,10281.1682
30,stated,1,5.78891021e-05,10277.0584
30,stated,2,0.0475556429,8198.33059
30,stated,3,0.210888874,897.966711
30,stated,4,0.223508635,544.541015
30,stated,5,0.242611963,132.499128
30,stated,6,0.24431967,110.57587
30,stated,7,0.247040452,89.220478
30,stated,8,0.250658495,72.5367442
30,stated,9,0.255897429,58.5644154
30,stated,10,0.264117628,46.4637822
30,stated,11,0.281600064,32.9963175
30,stated,12,0.28793889,30.1328916
30,stated,13,0.289878152,29.3677935
30,stated,14,0.292280526,28.4818587
30,stated,15,0.294827641,27.6094365
30,stated,16,0.296940571,26.941804
30,stated,17,0.300761244,25.8386071
30,stated,18,0.304466139,24.8567706
30,stated,19,0.309212998,23.7278593
30,stated,20,0.31520449,22.4583465
30,stated,21,0.321977501,21.2011628
30,stated,22,0.330545033,19.8332502
30,stated,23,0.344698834,17.9365644
30,stated,24,0.363252198,15.8993987
30,stated,25,0.389996835,13.6679671
30,stated,26,0.441286289,10.6242744
30,stated,27,0.542533789,7.23911024
30,stated,28,0.980520433,9.63239395
28,stated,0,1.16271914e-10,4209.81068
28,stated,1,9.13801443e-05,4031.89466
28,stated,2,0.000213229537,3876.56392
28,stated,3,0.000944288471,3277.38756
28,stated,4,0.00167534741,2858.15717
28,stated,5,0.00252825573,2591.98554
28,stated,6,0.00353346411,2389.15812
28,stated,7,0.00481282192,2218.71378
28,stated,8,0.00721922814,2033.00951
28,stated,9,0.0112400616,1852.1624
28,stated,10,0.0199214169,1646.91416
28,stated,11,0.035578292,1465.8015
28,stated,12,0.0428889188,1416.68324
28,stated,13,0.0449907156,1404.66503
28,stated,14,0.0470925123,1393.60677
28,stated,15,0.049803528,1380.47838
28,stated,16,0.0530933026,1366.00523
28,stated,17,0.0580888938,1346.19837
28,stated,18,0.064790283,1322.51213
28,stated,19,0.0743854478,1292.4507
28,stated,20,0.0858082881,1261.34572
28,stated,21,0.101069183,1226.15401
28,stated,22,0.129519636,1171.97092
28,stated,23,0.169210151,1111.19082
28,stated,24,0.23594994,1033.91406
28,stated,25,0.373023874,922.048062
28,stated,26,0.692649845,728.482779
28,stated,27,0.981936712,291.943011
28,stated,28,0.997441305,24.3090532
29,measured,0,1.16271914e-10,3639.58411
29,measured,1,0.000127041556,3095.07668
29,measured,2,0.000304899571,2894.1105
29,measured,3,0.00106715756,2326.86572
29,measured,4,0.0018294062,1983.75468
29,measured,5,0.00335391283,1511.55312
29,measured,6,0.00452270343,1328.10237
29,measured,7,0.00759712497,1050.55856
29,measured,8,0.0158548747,650.784638
29,measured,9,0.0179383543,590.828004
29,measured,10,0.0183448869,580.801009
29,measured,11,0.0187260299,571.951228
29,measured,12,0.019437462,556.576638
29,measured,13,0.0202251189,540.842043
29,measured,14,0.0208857344,528.6656
29,measured,15,0.0219783095,510.341647
29,measured,16,0.0231216824,493.142231
29,measured,17,0.0253576305,462.93829
29,measured,18,0.0275427432,436.685145
29,measured,19,0.0303884902,406.921505
29,measured,20,0.0339202796,375.835107
29,measured,21,0.036867641,354.559525
29,measured,22,0.0428386261,321.62516
29,measured,23,0.0524176068,284.433043
29,measured,24,0.0805701582,223.001767
29,measured,25,0.637319949,53.8893576
27,stated,0,1.16271914e-10,52307.2249
27,stated,1,0.0032905605,52256.0061
27,stated,2,0.962048945,1427.87591
27,stated,3,0.962926448,480.635073
27,stated,4,0.963584519,242.242905
27,stated,5,0.964132948,133.493201
27,stated,6,0.964462021,78.9961712
27,stated,7,0.964681378,64.1989566
27,stated,8,0.965558881,11.9070748
27,stated,9,0.965668522,11.7024595
27,stated,10,0.965778238,11.5579457
27,stated,11,0.966436384,11.0326671
27,stated,12,0.969288174,9.86134013
27,stated,13,0.983766632,12.0192751
31,measured,0,1.16271914e-10,333.457103
31,measured,1,0.0686628765,324.634915
31,measured,2,0.878323435,184.566106
31,measured,3,0.962764643,70.4709498
31,measured,4,0.972154109,50.5624868
31,measured,5,0.987319302,23.6155406
31,measured,6,0.992611036,6.19997706
31,measured,7,0.994288882,0.469460403
31,measured,8,0.994321138,0.444389152
31,measured,9,0.994482493,0.412120704
31,measured,10,0.994772874,0.37716211
32,measured,0,1.16271914e-10,10758.5303
32,measured,1,0.0681906902,8537.19427
32,measured,2,0.294949519,35.4198479
32,measured,3,0.295197615,28.9987005
32,measured,4,0.295552021,22.7852178
32,measured,5,0.295800117,20.3637999
32,measured,6,0.29657984,15.4014539
32,measured,7,0.297076032,13.2211795
32,measured,8,0.297749445,11.5136151
32,measured,9,0.298919012,9.78212146
32,measured,10,0.301399968,7.83894722
32,measured,11,0.306042875,5.97143056
32,measured,12,0.308169425,5.42292799
32,measured,13,0.308559268,5.33614535
32,measured,14,0.309268118,5.18877031
32,measured,15,0.309870658,5.07194145
32,measured,16,0.310721255,4.91960794
32,measured,17,0.311784512,4.7436717
32,measured,18,0.312989553,4.5610188
32,measured,19,0.314300905,4.3829398
32,measured,20,0.316250233,4.14329344
32,measured,21,0.318624842,3.88781576
32,measured,22,0.321141235,3.65213028
32,measured,23,0.324685448,3.36886848
32,measured,24,0.328761289,3.10789466
32,measured,25,0.33528265,2.7816963
32,measured,26,0.346446917,2.40410625
32,measured,27,0.378061338,1.77599479
32,measured,28,0.711004807,0.351514726
33,measured,0,1.16271914e-10,12.6733689
33,measured,1,0.000116938113,12.4893586
33,measured,2,0.00190025192,10.4186481
33,measured,3,0.00359586222,9.16268491
33,measured,4,0.00529147253,8.43375029
33,measured,5,0.00739636582,7.94050349
33,measured,6,0.0141495632,7.01046592
33,measured,7,0.0475647548,4.9464403
33,measured,8,0.0646377771,4.21726424
33,measured,9,0.0699292495,4.02045482
33,measured,10,0.0745483191,3.8599324
33,measured,11,0.0786119425,3.72808641
33,measured,12,0.0823247333,3.61677629
33,measured,13,0.0874115736,3.47657838
33,measured,14,0.0920598683,3.35973621
33,measured,15,0.0979360307,3.22686858
33,measured,16,0.105449344,3.07553245
33,measured,17,0.115038297,2.90537215
33,measured,18,0.1276969,2.71056855
33,measured,19,0.140355504,2.54501958
33,measured,20,0.157545464,2.36595408
33,measured,21,0.189498912,2.11259832
33,measured,22,0.262410109,1.70706416
33,measured,23,0.474741296,0.851462248
33,measured,24,0.805326584,0.214013339
34,stated,0,1.16271914e-10,755.013178
34,stated,1,0.000538223617,640.806572
34,stated,2,0.00107645647,561.77122
34,stated,3,0.00171720185,505.084451
34,stated,4,0.00266550352,452.952857
34,stated,5,0.003639438,419.687831
34,stated,6,0.00597175231,374.508535
34,stated,7,0.00943178859,335.442646
34,stated,8,0.0173514191,293.553394
34,stated,9,0.0207601898,282.482739
34,stated,10,0.0218110039,279.559284
34,stated,11,0.0226824259,277.330591
34,stated,12,0.0238357713,274.584263
34,stated,13,0.0252197746,271.553637
34,stated,14,0.0271163967,267.738141
34,stated,15,0.0296281126,263.148952
34,stated,16,0.0321398285,259.054116
34,stated,17,0.0346259303,255.464102
34,stated,18,0.0380603338,251.194514
34,stated,19,0.042776228,246.211
34,stated,20,0.0483891583,241.374604
34,stated,21,0.0571033217,235.587396
34,stated,22,0.0751467423,226.955523
34,stated,23,0.127662306,212.135464
34,stated,24,0.581464524,144.721714
34,stated,25,0.990901459,12.4775666
35,measured,0,1.16271914e-10,113.60937
35,measured,1,0.000226270462,113.48791
35,measured,2,0.000477687155,113.395583
35,measured,3,0.00130735756,113.263727
35,measured,4,0.590773088,35.6244403
35,measured,5,0.699032078,1.87097278
35,measured,6,0.702853574,1.05605138
35,measured,7,0.706348243,0.641047685
35,measured,8,0.711351393,0.293774885
35,measured,9,0.71268385,0.244214626
35,measured,10,0.712910167,0.236784159
35,measured,11,0.713236995,0.226845896
35,measured,12,0.713463237,0.220292171
35,measured,13,0.713815211,0.211031311
35,measured,14,0.714192331,0.201973105
35,measured,15,0.714644891,0.191949162
35,measured,16,0.715298546,0.178752252
35,measured,17,0.715876837,0.168417423
35,measured,18,0.716329397,0.161283069
35,measured,19,0.717008198,0.151806143
35,measured,20,0.71806412,0.139569022
35,measured,21,0.719622894,0.12511392
35,measured,22,0.721759885,0.10941938
35,measured,23,0.725053458,0.0930397724
35,measured,24,0.732822107,0.0703695391
35,measured,25,0.836983065,0.0516051766
36,stated,0,1.16271914e-10,14640.6282
36,stated,1,0.000628930082,13616.0846
36,stated,2,0.00269916295,11396.4126
36,stated,3,0.00440251923,10280.5643
36,stated,4,0.00767819575,8889.57578
36,stated,5,0.0121331218,7748.25632
36,stated,6,0.0195230606,6570.89599
36,stated,7,0.0304769327,5512.08254
36,stated,8,0.0476677163,4557.88232
36,stated,9,0.0736635194,3762.99844
36,stated,10,0.131577577,2924.90178
36,stated,11,0.157992673,2701.73045
36,stated,12,0.166194966,2642.99167
36,stated,13,0.175628943,2580.42007
36,stated,14,0.185744248,2519.00523
36,stated,15,0.200052407,2439.76246
36,stated,16,0.217243191,2352.95912
36,stated,17,0.239675042,2250.25771
36,stated,18,0.262499992,2156.93398
36,stated,19,0.29247904,2049.33948
