# ff065fa778254cca54b85bb3a68aab7b5381e1714f11192a638a154f53590803#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.67,"mnu":0.0,"ns":0.962,"ombh2":0.021996100000000005,"omch2":0.11985630000000001,"omnuh2":0.0,"sigma_8":0.834},"data_sha256":"89d27adde730cb67050cb1a692ee37c19091b68532d0d0770a87800023f45b4a","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
6.700000000000000226e-05 1.463199345153791228e+03
6.758712286554761255e-05 1.475525724057370098e+03
6.817939070511383644e-05 1.487955839990414006e+03
6.877684860424929613e-05 1.500490559742931509e+03
6.937954204359048755e-05 1.513130757249212138e+03
6.998751690232203095e-05 1.525877313704811968e+03
7.060081946166908934e-05 1.538731119307910376e+03
7.121949640842048350e-05 1.551693073623817554e+03
7.184359483848269310e-05 1.564764083832322285e+03
7.247316226046494740e-05 1.577945064685643501e+03
7.310824659929570355e-05 1.591236938571104020e+03
7.374889619987091917e-05 1.604640635362907005e+03
7.439515983073418683e-05 1.618157090761866812e+03
7.504708668778929984e-05 1.631787247190505695e+03
7.570472639804503234e-05 1.645532054844625009e+03
7.636812902339304172e-05 1.659392471765720074e+03
7.703734506441875800e-05 1.673369463904565009e+03
7.771242546424563945e-05 1.687464006800770221e+03
7.839342161241313336e-05 1.701677090128312557e+03
7.908038534878866722e-05 1.716009713335689867e+03
7.977336896751387359e-05 1.730462884352380343e+03
8.047242522098541453e-05 1.745037619661494318e+03
8.117760732387063608e-05 1.759734944273335486e+03
8.188896895715852705e-05 1.774555884794831400e+03
8.260656427224606342e-05 1.789501464601769385e+03
8.333044789506042637e-05 1.804572714173602208e+03
8.406067493021735122e-05 1.819770672221773111e+03
8.479730096521575665e-05 1.835096385751719936e+03
8.554038207466949410e-05 1.850550911132877218e+03
8.628997482457570272e-05 1.866135328507664326e+03
8.704613627662100288e-05 1.881850739005424657e+03
8.780892399252512176e-05 1.897698253580518440e+03
8.857839603842277776e-05 1.913678992793715679e+03
8.935461098928381015e-05 1.929794086897490160e+03
9.013762793337215019e-05 1.946044672637445274e+03
9.092750647674386429e-05 1.962431877725328832e+03
9.172430674778451294e-05 1.978956832408174932e+03
9.252808940178639484e-05 1.995620675980587748e+03
9.333891562556581156e-05 2.012424556860858729e+03
9.415684714212084071e-05 2.029369632669105613e+03
9.498194621532994293e-05 2.046457073180414227e+03
9.581427565469161946e-05 2.063688064664120702e+03
9.665389882010581141e-05 2.081063804187831920e+03
9.750087962669697322e-05 2.098585498674148312e+03
9.835528254967963312e-05 2.116254364980223727e+03
9.921717262926635957e-05 2.134071630208913120e+03
1.000866154756189738e-04 2.152038538172687822e+03
1.009636772738429404e-04 2.170156350537968137e+03
1.018484247890256419e-04 2.188426340112212074e+03
1.027409253713188196e-04 2.206849790554468655e+03
1.036412469610654004e-04 2.225427996469344635e+03
1.045494580939714793e-04 2.244162260997820340e+03
1.054656279063234198e-04 2.263053875889783285e+03
1.063898261402508415e-04 2.282104131431823589e+03
1.073221231490355520e-04 2.301314327877202686e+03
1.082625899024670989e-04 2.320685775619282140e+03
1.092112979922453222e-04 2.340219795264009917e+03
1.101683196374300829e-04 2.359917725301175324e+03
1.111337276899389270e-04 2.379780942833951030e+03
1.121075956400926848e-04 2.399810843048558127e+03
1.130899976222100487e-04 2.420008833083440550e+03
1.140810084202506833e-04 2.440376332133957931e+03
1.150807034735082488e-04 2.460914771343058874e+03
1.160891588823530267e-04 2.481625579398433729e+03
1.171064514140249209e-04 2.502510172804637932e+03
1.181326585084773747e-04 2.523569977012210074e+03
1.191678582842722054e-04 2.544806428640961258e+03
1.202121295445263989e-04 2.566220975560711850e+03
1.212655517829108921e-04 2.587815078216129677e+03
1.223282051897018436e-04 2.609590227044879612e+03
1.234001706578850041e-04 2.631547938922631147e+03
1.244815297893136455e-04 2.653689743827959774e+03
1.255723649009203894e-04 2.676017184598551466e+03
1.266727590309833394e-04 2.698531817039823636e+03
1.277827959454473866e-04 2.721235206295851640e+03
1.289025601443007281e-04 2.744128909513054623e+03
1.300321368680073565e-04 2.767214488929928848e+03
1.311716121039957397e-04 2.790493519086980996e+03
1.323210725932046365e-04 2.813967586924348325e+03
1.334806058366860512e-04 2.837638291903754634e+03
