# 17d18ac21b0778456cc7e84f03bb8c5e9be547793a08b3a0c15e2fa3bd5adb0e#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6732,"mnu":0.06,"ns":0.96605,"ombh2":0.022383,"omch2":0.12009212027110579,"omnuh2":0.000644883920894239,"sigma_8":0.812},"data_sha256":"a1adf78a402c5980b250a8906c0f293637de20f272fa9463492015cc9b55df24","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
6.731999999999999920e-05 1.369003932750476224e+03
6.790992703445769226e-05 1.380585942922239838e+03
6.850502361594423795e-05 1.392265843743618916e+03
6.910533504534422116e-05 1.404044446643568108e+03
6.971090702051510016e-05 1.415922569511419169e+03
7.032178563976595066e-05 1.427901037985605399e+03
7.093801740536660803e-05 1.439980699485228797e+03
7.155964922708756037e-05 1.452162418782083023e+03
7.218672842577097157e-05 1.464447068401234674e+03
7.281930273693283467e-05 1.476835528509666347e+03
7.345742031439681094e-05 1.489328686985532386e+03
7.410112973395984967e-05 1.501927436470229623e+03
7.475047999708992743e-05 1.514632662960380685e+03
7.540552053465635410e-05 1.527445255496521895e+03
7.606630121069241513e-05 1.540366110364220731e+03
7.673287232619132605e-05 1.553396131151514055e+03
7.740528462293539053e-05 1.566536228815452432e+03
7.808358928735845714e-05 1.579787323090938116e+03
7.876783795444256898e-05 1.593150344022629952e+03
7.945808271164854898e-05 1.606626229671730471e+03
8.015437610288110343e-05 1.620215925848270672e+03
8.085677113248863348e-05 1.633920386173679390e+03
8.156532126929806647e-05 1.647740572478198146e+03
8.228008045068524901e-05 1.661677461524709770e+03
8.300110308668067155e-05 1.675732044961820293e+03
8.372844406411145948e-05 1.689905323243239991e+03
8.446215875077957660e-05 1.704198305450888711e+03
8.520230299967649842e-05 1.718612009370983060e+03
8.594893315323507365e-05 1.733147459278385213e+03
8.670210604761845175e-05 1.747805671790602446e+03
8.746187901704664596e-05 1.762587664644187043e+03
8.822830989816107046e-05 1.777494463670115692e+03
8.900145703442718719e-05 1.792527102882739428e+03
8.978137928057591300e-05 1.807686624546348639e+03
9.056813600708377339e-05 1.822974086359747616e+03
9.136178710469249412e-05 1.838390575906609456e+03
9.216239298896796296e-05 1.853937194117592981e+03
9.297001460489940174e-05 1.869615051536512283e+03
9.378471343153865390e-05 1.885425268407115709e+03
9.460655148668022443e-05 1.901368974387409025e+03
9.543559133158226215e-05 1.917447293524852739e+03
9.627189607572895829e-05 1.933661338517952572e+03
9.711552938163467354e-05 1.950012229416784521e+03
9.796655546969014548e-05 1.966501095091374737e+03
9.882503912305123754e-05 1.983129073295569242e+03
9.969104569257031061e-05 1.999897312246101137e+03
1.005646411017711796e-04 2.016806986154772176e+03
1.014458918518672617e-04 2.033859289568719532e+03
1.023348650268239741e-04 2.051055427338190839e+03
1.032316282984654211e-04 2.068396614546787077e+03
1.041362499316257092e-04 2.085884076599189939e+03
1.050487987893456641e-04 2.103519046850245559e+03
1.059693443381148128e-04 2.121302758187758172e+03
1.068979566531594978e-04 2.139236450626293390e+03
1.078347064237772065e-04 2.157321374295691840e+03
1.087796649587176832e-04 2.175558789520982373e+03
1.097329041916112721e-04 2.193949966953577587e+03
1.106944966864446665e-04 2.212496193327161564e+03
1.116645156430848919e-04 2.231198776963130967e+03
1.126430349028513327e-04 2.250059038506604793e+03
1.136301289541370225e-04 2.269078309829170394e+03
1.146258729380787364e-04 2.288257934125231259e+03
1.156303426542772421e-04 2.307599265154855402e+03
1.166436145665672474e-04 2.327103652170753776e+03
1.176657658088381837e-04 2.346772441230063578e+03
1.186968741909059195e-04 2.366606988549899143e+03
1.197370182044358927e-04 2.386608661062372903e+03
1.207862770289181754e-04 2.406778836493168001e+03
1.218447305376949474e-04 2.427118905179698686e+03
1.229124593040407151e-04 2.447630279996307763e+03
1.239895446072957787e-04 2.468314389991664484e+03
1.250760684390536659e-04 2.489172675957997399e+03
1.261721135094023957e-04 2.510206590512497769e+03
1.272777632532208741e-04 2.531417598197339885e+03
1.283931018365300962e-04 2.552807179374212865e+03
1.295182141629003746e-04 2.574376837204501044e+03
1.306531858799142413e-04 2.596128089362652645e+03
1.317981033856864602e-04 2.618062466389207202e+03
1.329530538354408245e-04 2.640181511800963563e+03
1.341181251481448234e-04 2.662486781693955891e+03
1.352934060132022869e-04 2.684979827135774940e+03
1.364789858972047937e-04 2.707662188972661625e+03
1.376749550507420331e-04 2.730535418607356860e+03
1.388814045152723128e-04 2.753601079485615173e+03
1.400984261300526439e-04 2.776860747180880480e+03
1.413261125391300282e-04 2.800316012111948567e+03
1.425645571983938690e-04 2.823968504032153305e+03
1.438138543826900713e-04 2.847819881905033981e+03
1.450740991929976747e-04 2.871871818920754777e+03
1.463453875636682605e-04 2.896126002424467970e+03
1.476278162697287856e-04 2.920584134037220338e+03
1.489214829342484108e-04 2.945247921050595778e+03
1.502264860357701106e-04 2.970119049149274360e+03
1.515429249158069551e-04 2.995199207956780810e+03
1.528708997864044474e-04 3.020490100013515075e+03
1.542105117377691329e-04 3.045993440864317108e+03
1.555618627459637781e-04 3.071710959351207748e+03
1.569250556806702586e-04 3.097644415851742906e+03
1.583001943130202629e-04 3.123795617445504377e+03
1.596873833234949255e-04 3.150166389713589979e+03
1.610867283098932519e-04 3.176758573585030263e+03
1.624983357953707728e-04 3.203574025466602052e+03
