# d267b7acbd7ca1021691f4feea94f726d4a4097ff244dad4bdc4108a8a9ef8ab#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6822,"mnu":0.06,"ns":0.974,"ombh2":0.0226,"omch2":0.118,"omnuh2":0.000644883920894239,"sigma_8":0.813},"data_sha256":"242eee73b146c45f665533bf889c570793cb6a224cb2303465a9fdb5cb823b41","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
6.822000000000000752e-05 1.348327214490678671e+03
6.881781375951727875e-05 1.359828292063863273e+03
6.942086617765471680e-05 1.371427360546899763e+03
7.002920316092368848e-05 1.383125251867416864e+03
7.064287101811556296e-05 1.394922807177322738e+03
7.126191646382699517e-05 1.406820876882599578e+03
7.188638662201589206e-05 1.418820318758853773e+03
7.251632902958872592e-05 1.430921997934078490e+03
7.315179164001924883e-05 1.443126786952119119e+03
7.379282282699878455e-05 1.455435564947474859e+03
7.443947138811869409e-05 1.467849212187784588e+03
7.509178654858497432e-05 1.480368613511850754e+03
7.574981796496546398e-05 1.492994661073245425e+03
7.641361572896994165e-05 1.505728254410174941e+03
7.708323037126316992e-05 1.518570300506122521e+03
7.775871286531153630e-05 1.531521715552853038e+03
7.844011463126339921e-05 1.544583428443532966e+03
7.912748753986324757e-05 1.557756376870199574e+03
7.982088391640035157e-05 1.571041506480466069e+03
8.052035654469198592e-05 1.584439770944786687e+03
8.122595867110144244e-05 1.597952132032927466e+03
8.193774400859141476e-05 1.611579560021721136e+03
8.265576674081275509e-05 1.625323033893534785e+03
8.338008152622917231e-05 1.639183540989301036e+03
8.411074350227800691e-05 1.653162077048153378e+03
8.484780828956748927e-05 1.667259646278889477e+03
8.559133199611086088e-05 1.681477260798974157e+03
8.634137122159730418e-05 1.695815934296749901e+03
8.709798306170077884e-05 1.710276684502106946e+03
8.786122511242618169e-05 1.724860537424083759e+03
8.863115547449379255e-05 1.739568527480118746e+03
8.940783275776215502e-05 1.754401697562220988e+03
9.019131608568958195e-05 1.769361102219799477e+03
9.098166509983494975e-05 1.784447818385729988e+03
9.177893996439772718e-05 1.799662935990210372e+03
9.258320137079799773e-05 1.815007554422370731e+03
9.339451054229640768e-05 1.830482782613814607e+03
9.421292923865474467e-05 1.846089739029165685e+03
9.503851976083730940e-05 1.861829541633732333e+03
9.587134495575348693e-05 1.877703298500959363e+03
9.671146822104192433e-05 1.893712124420114378e+03
9.755895350989646361e-05 1.909857143039918583e+03
9.841386533593460251e-05 1.926139486933492208e+03
9.927626877810846956e-05 1.942560298644767499e+03
1.001462294856588690e-04 1.959120747822213161e+03
1.010238136831126941e-04 1.975822029736617424e+03
1.019090881753242770e-04 1.992665350586003342e+03
1.028021203525606770e-04 2.009651927069875228e+03
